title,file name,size bytes,caption
Harvard university,harvard logo 2.jpeg,29.2 KB,I heard thats it a one the best collgeges to go to
Univeristy of arizona,ASU logo (1).jpeg,22.9 KB,Closer to me 
Lincoln technical institutie,Indy logo.jpeg,28.6 KB,For trading school 
WyoTech,wyotech.jpeg,10.2 KB,I want to do this school for welding
Fortis,Fortis logo.jpeg,23.7 KB,I want to do this school for plumbing
southern new hampshire university,southren college university.jpeg,20.7 KB,i Want to do this to learn about like buisness
 purdue global universties,purdue logo.jpeg,23 KB,I want to do  criminal justice
massachutes insiuttue of technology,massachusetts-institute-of-technology-mit-logo-jpeg'.jpeg,22.8 KB,I want to do engineering.
Univeristy of Okalahoma,851-8516953_oklahoma-soone...-of-oklahoma-log-jpeg.jpeg,24.9 KB,I want to do law
Universisty of kentucky,University-of-Kentucky-Logo-jpeg.jpeg,24.9 KB,I want to do engineering in this
